ticket_id,vendor_id,created_date,severity,resolution_hours,sla_hours,status,issue_type
TCK-2072,V019,2026-03-28,Low,8,24,Resolved,Integration
TCK-2073,V020,2026-01-16,Medium,9,12,Resolved,Reporting
TCK-2074,V020,2026-02-19,High,29,6,Resolved,Billing
TCK-2075,V020,2026-03-25,Critical,17,2,Escalated,Billing
TCK-2076,V021,2026-01-13,Medium,11,12,Resolved,Security Review
TCK-2077,V021,2026-02-21,Medium,9,12,Resolved,Security Review
TCK-2078,V021,2026-03-30,Medium,9,12,Resolved,Access
TCK-2079,V022,2026-01-15,High,4,6,Resolved,Access
TCK-2080,V022,2026-02-20,Medium,4,12,Resolved,Availability
TCK-2081,V022,2026-03-28,High,13,6,Resolved,Security Review
TCK-2082,V023,2026-01-12,Low,7,24,Resolved,Integration
TCK-2083,V023,2026-02-23,High,30,6,Resolved,Security Review
TCK-2084,V023,2026-03-29,Critical,19,2,Escalated,Data Delay
TCK-2085,V024,2026-01-15,Low,10,24,Resolved,Availability
TCK-2086,V024,2026-02-24,Low,9,24,Resolved,Availability
TCK-2087,V024,2026-03-25,High,3,6,Resolved,Integration
TCK-2088,V025,2026-01-12,High,4,6,Resolved,Availability
TCK-2089,V025,2026-02-16,High,3,6,Resolved,Billing
TCK-2090,V025,2026-04-01,High,9,6,Resolved,Availability
